multiplier,growth,n,one,split,d_wei,rel,exact
2000000000000000000000000000,0.01,2,1020100000000000000420496970,1020100000000000000420496970,0,0.0,1020100000000000000420496970.5768
2000000000000000000000000000,0.01,10,1020100000000000000420496970,1020100000000000000420496971,1,9.80296e-28,1020100000000000000420496970.5768
2000000000000000000000000000,0.01,100,1020100000000000000420496970,1020100000000000000420496964,-6,-5.88178e-27,1020100000000000000420496970.5768
2000000000000000000000000000,0.01,1000,1020100000000000000420496970,1020100000000000000420496864,-106,-1.03911e-25,1020100000000000000420496970.5768
2000000000000000000000000000,0.01,8760,1020100000000000000420496970,1020100000000000000420494898,-2072,-2.03117e-24,1020100000000000000420496970.5768
2000000000000000000000000000,0.01,30000,1020100000000000000420496970,1020100000000000000420482385,-14585,-1.42976e-23,1020100000000000000420496970.5768
2000000000000000000000000000,0.05,1,1102500000000000005828670880,1102500000000000005828670880,0,0.0,1102500000000000005828670879.2821
2000000000000000000000000000,0.05,2,1102500000000000005828670880,1102500000000000005828670880,0,0.0,1102500000000000005828670879.2821
2000000000000000000000000000,0.05,10,1102500000000000005828670880,1102500000000000005828670882,2,1.81406e-27,1102500000000000005828670879.2821
2000000000000000000000000000,0.05,100,1102500000000000005828670880,1102500000000000005828670920,40,3.62812e-26,1102500000000000005828670879.2821
2000000000000000000000000000,0.05,1000,1102500000000000005828670880,1102500000000000005828670945,65,5.89569e-26,1102500000000000005828670879.2821
2000000000000000000000000000,0.05,8760,1102500000000000005828670880,1102500000000000005828666978,-3902,-3.53923e-24,1102500000000000005828670879.2821
2000000000000000000000000000,0.05,30000,1102500000000000005828670880,1102500000000000005828682611,11731,1.06404e-23,1102500000000000005828670879.2821
2000000000000000000000000000,0.1,1,1210000000000000012212453271,1210000000000000012212453271,0,0.0,1210000000000000012212453270.8767
2000000000000000000000000000,0.1,2,1210000000000000012212453271,1210000000000000012212453271,0,0.0,1210000000000000012212453270.8767
2000000000000000000000000000,0.1,10,1210000000000000012212453271,1210000000000000012212453269,-2,-1.65289e-27,1210000000000000012212453270.8767
2000000000000000000000000000,0.1,100,1210000000000000012212453271,1210000000000000012212453312,41,3.38843e-26,1210000000000000012212453270.8767
